CDX HY CDSI GEN 5Y SPRD Corp,INDX_MEMBERS,Ticker,CDS Spread,parent ticker exchange
American Airlines Group Inc,Senior,CAMR1U5,226.6293,AAL US
American Axle & Manufacturing,Senior,CT370292,400.236,AXL US
Amkor Technology Inc,Senior,CT356410,139.4451,AMKR US
Antero Resources Corp,Senior,CY459512,131.0943,AR US
Anywhere Real Estate Group LLC,Senior,CX404670,224.8678,1354039D US
Aramark Services Inc,Senior,CT371596,115.1958,ARMK US
Ashland Inc,Senior,CASH1U5,78.93589,1778675D US
Avient Corp,Senior,CPOL1U5,78.93589,AVNT US
Avis Budget Group Inc,Senior,CCD1U5,121.9033,CAR US
Ball Corp,Senior,CX356919,37.71186,BALL US
Bath & Body Works Inc,Senior,CLTD1U5,226.6293,BBWI US
Bausch Health Cos Inc,Senior,CT370648,121.9033,BHC CN
Beazer Homes USA Inc,Senior,CBZH1U5,235.7907,BZH US
Bombardier Inc,Senior,CBOMB1U5,145.4799,BBD/B CN
Boyd Gaming Corp,Subordinated,CX357231,170.191,BYD US
Caesars Entertainment Inc,Senior,CY855412,335.0666,CZR US
Calpine Corp,Senior,CY169005,137.3347,1532897D US
Carnival Corp,Senior,CCCL1U5,170.191,CCL US
Carvana Co,Senior,CY865997,322.0649,CVNA US
CCO Holdings LLC,Senior,CY169099,124.5779,3247463Z US
Chesapeake Energy Corp,Senior,CCHK1U5,125.9968,CHK US
Cleveland-Cliffs Inc,Senior,CY460646,99.12997,CLF US
Cloud Software Group Inc,Senior,CY884690,#N/A N/A,2154978D US
CommScope Inc,Senior,CY866065,#N/A N/A,COMM US
Community Health Systems Inc,Senior,CX376424,121.9033,CYH US
CSC Holdings LLC,Senior,CCVC1U5,139.4451,CVC US
DaVita Inc,Senior,CX374716,41.05846,DVA US
Delta Air Lines Inc,Senior,CDAL1U5,170.191,DAL US
DISH DBS Corp,Senior,CDISH1U5,3268.47,0487125D US
Domtar Corp,Senior,CDTC1U5,78.93589,8370997Z CN
EQM Midstream Partners LP,Senior,CY503635,221.1644,ETRN US
Ford Motor Co,Senior,CFM1U5,141.7813,F US
Frontier Communications Holdin,Senior,CY855469,#N/A N/A,1894655D US
Genworth Holdings Inc,Senior,CY183711,224.8678,GNW US
GFL Environmental Inc,Senior,CY866031,80.2011,GFL CN
Hilton Domestic Operating Co I,Senior,CY855452,#N/A N/A,0863283D US
Howmet Aerospace Inc,Senior,CAA1U5,145.4799,HWM US
iHeartCommunications Inc,Senior,CCCU1U5,724.3815,1004036D US
Iron Mountain Inc,Senior,CT370608,224.8678,IRM US
K Hovnanian Enterprises Inc,Senior,CT357624,401.2814,HOV US
KB Home,Senior,CKBH1U5,124.8887,KBH US
Kohl's Corp,Senior,CKSS1U5,170.191,KSS US
Lamb Weston Holdings Inc,Senior,CY333281,41.05846,LW US
Liberty Interactive LLC,Senior,CLIB1U5,2309.78,QRTEA US
Louisiana-Pacific Corp,Senior,CLPX1U5,37.71186,LPX US
Lumen Technologies Inc,Senior,CCTL1U5,724.3815,LUMN US
Macy's Inc,Senior,CFD1U5,170.191,M US
MBIA Inc,Senior,CMBI1U5,224.8678,MBI US
Medline Borrower LP,Senior,CY884361,#N/A N/A,1920261D US
MGIC Investment Corp,Senior,CMTGI1U5,76.00983,MTG US
MGM Resorts International,Senior,CMGG1U5,118.3561,MGM US
MPT Operating Partnership LP,Senior,CY876674,#N/A N/A,MPW US
Murphy Oil Corp,Senior,CT373332,86.51533,MUR US
Nabors Industries Inc,Senior,CT365120,125.9968,NBR US
Navient Corp,Senior,CSLMA1U5,224.8678,NAVI US
NCL Corp Ltd,Senior,CY884472,347.5442,NCLH US
New Albertsons LP,Senior,CT969786,226.6293,1581942D US
Newell Brands Inc,Senior,CNWL1U5,342.0304,NWL US
Nordstrom Inc,Senior,CJWN1U5,170.191,JWN US
NOVA Chemicals Corp,Senior,CNCX1U5,357.7151,338249Z UH
NRG Energy Inc,Senior,CT356322,141.6674,NRG US
Olin Corp,Senior,COLN1U5,119.366,OLN US
OneMain Finance Corp,Senior,CX403610,224.8678,OMF US
Organon & Co,Senior,CY884395,181.1521,OGN US
Pactiv LLC,Senior,CT358302,118.3561,8146495Z US
PG&E Corp,Senior,CT372104,60.31798,PCG US
Pitney Bowes Inc,Senior,CPBI1U5,1579,PBI US
Post Holdings Inc,Senior,CY503576,64.37936,POST US
RR Donnelley & Sons Co,Senior,CX359760,121.9033,1993618D US
Rite Aid Corp,Senior,CRAD1U5,4250.82,RADCQ US
Royal Caribbean Cruises Ltd,Senior,CRCL1U5,152.6132,RCL US
Sabre Holdings Corp,Senior,CTSG1U5,1321.72,SABR US
Safeway Inc,Senior,CSWY1U5,87.90677,ACI US
Sealed Air Corp,Senior,CSEE1U5,148.2847,SEE US
Service Properties Trust,Senior,CT367456,70.30286,SVC US
Sirius XM Radio Inc,Senior,CY444950,58.45504,SIRI US
Standard Building Solutions In,Senior,CY876759,#N/A N/A,0713150D US
Staples Inc,Senior,CSPLS1U5,1773.46,1541027D US
TEGNA Inc,Senior,CGCI1U5,120.4585,TGNA US
Tenet Healthcare Corp,Senior,CTHC1U5,151.9679,THC US
Teva Pharmaceutical Industries,Senior,CT366416,127.6368,TEVA IT
ADT Security Corp/The,Senior,CY325664,118.3561,1308461D US
Gap Inc/The,Senior,CGPS1U5,188.222,GPS US
Goodyear Tire & Rubber Co/The,Senior,CGT1U5,226.6293,GT US
Hertz Corp/The,Senior,CHTZ1U5,430.1769,1426382D US
